,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
153,The Kid,-1921,68 min,8.3,N/A,"123,604",$5.45M,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
154,Andhadhun,-2018,139 min,8.2,N/A,"88,167",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
155,Green Book,-2018,130 min,8.2,69,"455,265",$85.08M,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
156,Klaus,-2019,96 min,8.2,65,"139,530",#200,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
157,Drishyam,-2015,163 min,8.2,N/A,"78,942",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
158,Bajrangi Bhaijaan,-2015,163 min,8.2,N/A,"83,986",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
159,Queen,-2013,146 min,8.2,N/A,"64,714",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
160,PK,-2014,153 min,8.2,N/A,"177,443",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
161,OMG: Oh My God!,-2012,125 min,8.2,N/A,"56,918",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
162,Inside Out,(I) (2015),95 min,8.2,94,"679,674",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
163,Barfi!,-2012,151 min,8.2,N/A,"80,298",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
164,Gangs of Wasseypur,-2012,321 min,8.2,89,"93,087",N/A,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
165,Paan Singh Tomar,-2012,135 min,8.2,N/A,"35,708",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
166,Zindagi Na Milegi Dobara,-2011,155 min,8.2,N/A,"75,182",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
167,El secreto de sus ojos,-2009,129 min,8.2,80,"205,129",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
168,Warrior,-2011,140 min,8.2,71,"460,231",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
169,Harry Potter and the Deathly Hallows: Part 2,-2011,130 min,8.2,85,"836,605",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
170,Shutter Island,-2010,138 min,8.2,63,"1,244,024",$128.01M,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
171,Miracle in Cell No. 7,-2019,132 min,8.2,N/A,"46,293",N/A,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
172,Article 15,-2019,130 min,8.2,N/A,"29,725",N/A,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
173,The Wolf of Wall Street,-2013,180 min,8.2,75,"1,324,137",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
174,Chak De! India,-2007,153 min,8.2,68,"78,725",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
175,No Country for Old Men,-2007,122 min,8.2,91,"932,323",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
176,There Will Be Blood,-2007,158 min,8.2,93,"563,961",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
177,Pan's Labyrinth,-2006,118 min,8.2,98,"652,123",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
178,V for Vendetta,-2005,132 min,8.2,62,"1,091,983",$70.51M,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman."
179,Black,-2005,122 min,8.2,N/A,"34,628",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
180,Der Untergang,-2004,156 min,8.2,82,"348,240",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
181,Hauru no ugoku shiro,-2004,119 min,8.2,80,"374,075",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
182,A Beautiful Mind,-2001,135 min,8.2,72,"903,262",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
183,Kill Bill: Vol. 1,-2003,111 min,8.2,69,"1,075,206",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
184,Finding Nemo,-2003,100 min,8.2,90,"1,009,266",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
185,The Sixth Sense,-1999,107 min,8.2,64,"962,203",$293.51M,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
186,"Lock, Stock and Two Smoking Barrels",-1998,107 min,8.2,66,"567,529",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
187,The Truman Show,-1998,103 min,8.2,90,"1,024,456",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.
188,Bacheha-Ye aseman,-1997,89 min,8.2,77,"72,867",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
189,Trainspotting,-1996,93 min,8.2,83,"669,631",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
190,Eskiya,-1996,128 min,8.2,N/A,"69,352",N/A,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
191,Dilwale Dulhania Le Jayenge,-1995,189 min,8.2,N/A,"67,832",N/A,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
192,Casino,-1995,178 min,8.2,73,"501,887",$42.44M,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
193,Jurassic Park,-1993,127 min,8.2,68,"937,422",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
194,Unforgiven,-1992,130 min,8.2,85,"401,165",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
195,Tonari no Totoro,-1988,86 min,8.2,86,"323,590",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
196,Ran,-1985,162 min,8.2,96,"122,406",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
197,The Thing,-1982,109 min,8.2,57,"405,750",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
198,Raging Bull,-1980,129 min,8.2,89,"343,508",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
199,The Elephant Man,-1980,124 min,8.2,78,"235,373",#155,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
200,Monty Python and the Holy Grail,-1975,91 min,8.2,91,"528,213",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
201,Chinatown,-1974,130 min,8.2,92,"317,202",$8.49M,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
202,Z,-1969,127 min,8.2,86,"27,812",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
203,The Great Escape,-1963,172 min,8.2,86,"239,301",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
204,Yôjinbô,-1961,110 min,8.2,93,"120,026",#145,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
205,Some Like It Hot,-1959,121 min,8.2,98,"260,379",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
206,Smultronstället,-1957,91 min,8.2,88,"104,897",#186,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
207,The Bridge on the River Kwai,-1957,161 min,8.2,87,"215,726",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
208,Du rififi chez les hommes,-1955,118 min,8.2,97,"33,473",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
